Data As Of,Start Week,End Week,MMWRyear,MMWRweek,Week Ending Date,Group,Indicator,Jurisdiction,Age,COVID,Pneumonia,Influenza,"Pneumonia, Influenza","Pneumonia, Influenza, COVID",Total,Footnote
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Minnesota,18-64 years,0,,,10,10,184,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Minnesota,65 years and over,0,50,,57,57,756,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Mississippi,All Ages,0,52,,53,53,665,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Mississippi,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Mississippi,18-64 years,0,11,0,11,11,187,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Mississippi,65 years and over,0,41,,42,42,472,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Missouri,All Ages,0,76,10,86,86,1292,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Missouri,0-17 years,0,0,0,0,0,14,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Missouri,18-64 years,0,15,,19,19,323,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Missouri,65 years and over,0,61,,67,67,955,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Montana,All Ages,0,12,,15,15,213,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Montana,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Montana,18-64 years,0,0,,,,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Montana,65 years and over,0,12,,14,14,158,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Nebraska,All Ages,0,34,,43,43,358,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Nebraska,0-17 years,0,0,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Nebraska,18-64 years,0,,,,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Nebraska,65 years and over,0,33,,38,38,284,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Nevada,All Ages,0,30,,32,32,531,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Nevada,0-17 years,0,,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Nevada,18-64 years,0,,,,,146,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Nevada,65 years and over,0,22,,23,23,378,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New Hampshire,All Ages,0,18,,21,21,267,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New Hampshire,0-17 years,0,,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New Hampshire,18-64 years,0,,,,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New Hampshire,65 years and over,0,14,,16,16,205,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New Jersey,All Ages,0,98,,105,105,1602,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New Jersey,0-17 years,0,,0,,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New Jersey,18-64 years,0,12,,14,14,320,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New Jersey,65 years and over,0,85,,90,90,1267,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New Mexico,All Ages,0,26,,35,35,422,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New Mexico,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New Mexico,18-64 years,0,,,14,14,116,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New Mexico,65 years and over,0,18,,21,21,297,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New York,All Ages,0,182,15,197,197,2139,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New York,0-17 years,0,0,,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New York,18-64 years,0,20,,23,23,407,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New York,65 years and over,0,162,11,173,173,1714,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New York City,All Ages,0,92,,98,98,1114,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New York City,0-17 years,0,0,0,0,0,10,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New York City,18-64 years,0,26,,28,28,269,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,New York City,65 years and over,0,66,,70,70,835,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,North Carolina,All Ages,0,129,18,147,147,1985,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,North Carolina,0-17 years,0,,,,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,North Carolina,18-64 years,0,22,,30,30,507,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,North Carolina,65 years and over,0,106,,115,115,1446,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,North Dakota,All Ages,0,,,13,13,147,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,North Dakota,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,North Dakota,18-64 years,0,0,,,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,North Dakota,65 years and over,0,,,12,12,113,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Ohio,All Ages,0,159,13,172,172,2633,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Ohio,0-17 years,0,,0,,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Ohio,18-64 years,0,41,,45,45,621,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Ohio,65 years and over,0,117,,126,126,1978,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Oklahoma,All Ages,0,69,,78,78,855,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Oklahoma,0-17 years,0,0,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Oklahoma,18-64 years,0,12,,18,18,233,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Oklahoma,65 years and over,0,57,,59,59,619,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Oregon,All Ages,0,38,,43,43,764,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Oregon,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Oregon,18-64 years,0,,,,,163,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Oregon,65 years and over,0,34,,38,38,595,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Pennsylvania,All Ages,0,153,19,172,172,2812,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Pennsylvania,0-17 years,0,,0,,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Pennsylvania,18-64 years,0,24,,28,28,569,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Pennsylvania,65 years and over,0,128,15,143,143,2221,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Rhode Island,All Ages,0,18,,22,22,199,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Rhode Island,0-17 years,0,0,0,0,0,0,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Rhode Island,18-64 years,0,,,,,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Rhode Island,65 years and over,0,15,,18,18,161,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,South Carolina,All Ages,0,69,10,79,79,1111,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,South Carolina,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,South Carolina,18-64 years,0,16,,21,21,306,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,South Carolina,65 years and over,0,53,,58,58,799,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,South Dakota,All Ages,0,14,,15,15,159,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,South Dakota,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,South Dakota,18-64 years,0,,0,,,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,South Dakota,65 years and over,0,13,,14,14,116,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Tennessee,All Ages,0,145,27,172,172,1601,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Tennessee,0-17 years,0,0,,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Tennessee,18-64 years,0,28,10,38,38,420,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Tennessee,65 years and over,0,117,16,133,133,1165,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Texas,All Ages,0,363,52,415,415,4486,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Texas,0-17 years,0,,,,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Texas,18-64 years,0,83,26,109,109,1220,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Texas,65 years and over,0,279,24,303,303,3187,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Utah,All Ages,0,24,0,24,24,427,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Utah,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Utah,18-64 years,0,,0,,,108,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Utah,65 years and over,0,19,0,19,19,316,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Vermont,All Ages,0,,0,,,116,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Vermont,0-17 years,0,0,0,0,0,0,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Vermont,18-64 years,0,0,0,0,0,24,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Vermont,65 years and over,0,,0,,,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Virginia,All Ages,0,89,,94,94,1566,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Virginia,0-17 years,0,0,0,0,0,16,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Virginia,18-64 years,0,14,,16,16,395,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Virginia,65 years and over,0,75,,78,78,1155,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Washington,All Ages,0,79,12,91,91,1248,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Washington,0-17 years,0,0,,,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Washington,18-64 years,0,14,,18,18,300,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Washington,65 years and over,0,65,,71,71,933,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,West Virginia,All Ages,0,38,,40,40,491,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,West Virginia,0-17 years,0,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,West Virginia,18-64 years,0,,,,,136,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,West Virginia,65 years and over,0,34,,35,35,347,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Wisconsin,All Ages,0,61,,69,69,1076,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Wisconsin,0-17 years,0,,0,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Wisconsin,18-64 years,0,10,,12,12,217,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Wisconsin,65 years and over,0,50,,56,56,843,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Wyoming,All Ages,0,,0,,,89,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Wyoming,0-17 years,0,0,0,0,0,0,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Wyoming,18-64 years,0,,0,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,Wyoming,65 years and over,0,,0,,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 1,All Ages,0,183,22,205,205,2774,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 1,0-17 years,0,,0,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 1,18-64 years,0,20,,26,26,555,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 1,65 years and over,0,161,16,177,177,2205,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 2,All Ages,0,372,28,400,400,4855,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 2,0-17 years,0,,,,,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 2,18-64 years,0,58,,65,65,996,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 2,65 years and over,0,313,20,333,333,3816,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 3,All Ages,0,378,31,409,409,6227,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 3,0-17 years,0,,0,,,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 3,18-64 years,0,60,,69,69,1455,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 3,65 years and over,0,315,22,337,337,4705,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 4,All Ages,0,940,122,1062,1062,13694,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 4,0-17 years,0,,,10,10,163,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 4,18-64 years,0,171,58,229,229,3480,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 4,65 years and over,0,764,59,823,823,10051,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 5,All Ages,0,680,66,746,746,10472,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 5,0-17 years,0,,0,,,109,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 5,18-64 years,0,138,18,156,156,2368,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 5,65 years and over,0,538,48,586,586,7995,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 6,All Ages,0,572,80,652,652,7408,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 6,0-17 years,0,,,,,105,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 6,18-64 years,0,122,42,164,164,2025,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 6,65 years and over,0,448,35,483,483,5278,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 7,All Ages,,200,25,225,225,2882,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 7,0-17 years,0,0,,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 7,18-64 years,0,24,,32,32,611,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 7,65 years and over,,176,16,192,192,2245,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 8,All Ages,0,114,15,129,129,1889,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 8,0-17 years,0,0,0,0,0,19,
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 8,18-64 years,0,21,,27,27,477,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 8,65 years and over,0,93,,102,102,1393,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,By Week,Week-ending,HHS Region 9,All Ages,0,561,63,624,624,7968,
